Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2014-09-17,457.3340148925781,,,,,
2014-09-18,424.4400024414063,,,,,
2014-09-19,394.7959899902344,,,,,
2014-09-20,408.9039916992188,,,,,
2014-09-21,398.8210144042969,,,,,
2014-09-22,402.1520080566406,,,,,
2014-09-23,435.7909851074219,,,,,
2014-09-24,423.2049865722656,,,,,
2014-09-25,411.5740051269531,,,,,
2014-09-26,404.4249877929688,416.1441986083984,,,413.051,416.144
2014-09-27,399.5199890136719,410.3627960205078,,,410.029,413.122
2014-09-28,377.1809997558594,405.63689575195315,,,403.996,406.587
2014-09-29,375.4670104980469,403.70399780273436,,,398.51,400.929
2014-09-30,386.9440002441406,401.50799865722655,,,395.463,398.386
2014-10-01,383.614990234375,399.9873962402344,,,392.21,395.7
2014-10-02,375.0719909667969,397.27939453125,,,387.68,391.95
2014-10-03,359.5119934082031,389.6514953613281,,,380.813,386.052
2014-10-04,328.8659973144531,380.21759643554685,,,369.761,375.655
2014-10-05,320.510009765625,371.11119689941404,,,358.905,365.628
2014-10-06,330.0790100097656,363.6765991210938,,,351.445,359.165
2014-10-07,336.18701171875,357.3433013916016,,,346.447,354.987
2014-10-08,352.94000244140625,354.91920166015626,,,345.646,354.615
2014-10-09,365.0260009765625,353.87510070800784,,,347.484,356.508
2014-10-10,361.56201171875,351.33690185546874,,,348.881,357.427
2014-10-11,362.2990112304688,349.20530395507814,383.0488806152344,,350.874,358.313
2014-10-12,378.5490112304688,349.5530059814453,379.89748046875,,356.21,361.992
2014-10-13,390.41400146484375,352.64320678710936,378.5364404296875,,363.639,367.16
2014-10-14,400.8699951171875,359.84360656738284,378.77940063476564,,372.407,373.289
2014-10-15,394.7730102539063,367.26990661621096,378.21416137695314,,378.758,377.195
2014-10-16,382.5559997558594,372.5176055908203,377.5635607910156,,381.537,378.17
2014-10-17,383.7579956054688,377.2747039794922,376.82780029296873,,383.581,379.186
2014-10-18,391.4419860839844,381.12490234375,375.05384033203126,,386.157,381.414
2014-10-19,389.5459899902344,383.5769012451172,373.70748046875,,387.688,382.893
2014-10-20,382.8450012207031,385.7052001953125,372.5583203125,,387.555,382.884
2014-10-21,386.4750061035156,388.1227996826172,371.8403210449219,,387.695,383.537
2014-10-22,383.1579895019531,388.5836975097656,371.18584106445314,,386.792,383.468
2014-10-23,358.4169921875,385.3839965820313,370.43528076171873,,381.307,378.913
2014-10-24,358.3450012207031,381.1314971923828,369.750400390625,,376.391,375.174
2014-10-25,347.27099609375,376.3812957763672,368.1634802246094,,370.235,370.1
2014-10-26,354.7040100097656,373.5960968017578,367.007041015625,,366.293,367.301
2014-10-27,352.989013671875,370.5191986083984,366.1237219238281,,362.547,364.699
2014-10-28,357.6180114746094,367.1368011474609,366.0479626464844,,360.201,363.411
2014-10-29,335.59100341796875,361.7413024902344,366.316962890625,,354.465,358.353
2014-10-30,345.30499267578125,357.9873016357422,367.30876220703124,,351.477,355.981
2014-10-31,338.3210144042969,353.1719024658203,367.6384423828125,,347.901,352.77
2014-11-01,325.7489929199219,347.4310028076172,367.2209216308594,,342.915,347.857
2014-11-02,325.8919982910156,344.1785034179687,366.1390014648438,,338.999,343.863
2014-11-03,327.5539855957031,341.0994018554687,364.6401208496094,,335.977,340.898
2014-11-04,330.49200439453125,339.4215026855469,363.39732055664064,,334.048,339.006
2014-11-05,339.4859924316406,337.8997009277344,362.4847998046875,,334.06,339.093
2014-11-06,349.2900085449219,337.52980041503906,361.31443969726564,,336.131,340.947
